WD,LR,DROPOUT,F1Score1,Average
1e-4,1e-4,0,0.9615758754863813,.9615
0,1e-4,0,0.9601167315175096,.9601
1e-5,1e-4,0,0.9608843537414967,.9608
0,1e-4,0.3,0.9636786107374343,.9636
1e-5,1e-3,0,0.9650894051818513,.9650
1e-4,1e-3,0,0.9638817949653411,.9638
1e-5,1e-4,0.3,0.964250734573947,.9642
0,1e-3,0.4,0.9644732022952021,.9644
0,1e-4,0.2,0.9663031491238819,.9663
0,1e-2,0.3,0.9637318353889365,.9637
1e-3,1e-3,0.4,0.9694002447980417,.9694
1e-5,1e-3,0.1,0.9652396633735821,.9652
0,1e-3,0.1,0.96337890625,.9633
0,1e-4,0.1,0.9621766715470962,.9621
1e-4,1e-3,0.1,0.9678523407896346,.9678
1e-3,1e-4,0,0.9613004973917262,.9613
1e-4,1e-3,0.2,0.9653658536585367,.9653
0,1e-2,0,0.9633406166545277,.9633
1e-5,1e-3,0.3,0.9682306940371457,.9682
1e-4,1e-3,0.4,0.9696301738917463,.9696
1e-5,1e-3,0.2,0.9658715596330275,.9658
1e-3,1e-3,0.1,0.9652226967663209,.9652
1e-3,1e-4,0.3,0.9666463042150275,.9666
0,1e-3,0.3,0.9670706328804015,.9670
0,1e-2,0.4,0.9677182685253117,.9677
1e-5,1e-4,0.4,0.9630897091175753,.9630
1e-3,1e-3,0,0.9578692493946732,.9578
1e-3,1e-3,0.3,0.967041015625,.9670
1e-3,1e-4,0.1,0.9651887138145842,.9651
0,1e-2,0.1,0.9621175327829042,.9621
1e-4,1e-4,0.2,0.9648265754763068,.9648
1e-4,1e-4,0.1,0.9645563431923735,.9645
0,1e-2,0.2,0.9648033126293997,.9648
1e-5,1e-4,0.1,0.9620222249358896,.9620
0,1e-4,0.4,0.9628543499511242,.9628
1e-5,1e-2,0.3,0.9667438177609939,.9667
1e-5,1e-2,0.2,0.9626920263350403,.9626
1e-5,1e-2,0.4,0.9673713796896003,.9673
0,1e-3,0.2,0.9663414634146341,.9663
1e-4,1e-4,0.4,0.963914373088685,.9639
1e-5,1e-4,0.2,0.9652726828075323,.9652
1e-5,1e-3,0.4,0.9676787463271301,.9676
1e-4,1e-4,0.3,0.9639970609845702,.9639
1e-5,1e-2,0,0.9603193805952094,.9603
1e-4,1e-3,0.3,0.96730112249878,.9673
1e-5,1e-2,0.1,0.9654920131691258,.9654
0,1e-3,0,0.9622251913032918,.9622
1e-3,1e-4,0.4,0.9659980430528377,.9659
1e-3,1e-4,0.2,0.9645650048875856,.9645
1e-3,1e-3,0.2,0.9673394495412844,.9673
1e-4,1e-2,0.4,0.9662037605997297,.9662
1e-4,1e-2,0.3,0.964613689237174,.9646
1e-4,1e-2,0.2,0.9627176845719893,.9627
1e-4,1e-2,0.1,0.9586030040297961,.9586
1e-4,1e-2,0,0.9536791314837153,.9536
1e-3,1e-2,0.4,0.9545066471520917,.9545
1e-3,1e-2,0.2,0.9553921568627451,.9553
1e-3,1e-2,0.3,0.9570626982190777,.9570
1e-3,1e-2,0.1,0.954184483811851,.9541
1e-3,1e-2,0,0.9459589867310012,.9459
