LEARNING_RATE,N_ESTIMATORS,NUM_LEAVES,BOOSTING_TYPE,F1Score1,Average
0.01,50,15,rf,,NaN
0.01,50,63,rf,,NaN
0.01,50,31,rf,,NaN
0.01,50,127,rf,,NaN
0.01,50,15,dart,0.818709120078983,.8187
0.01,50,15,gbdt,0.8255756981871631,.8255
0.01,50,31,gbdt,0.8659543467702768,.8659
0.01,50,31,dart,0.8577707239653277,.8577
0.01,100,15,rf,,NaN
0.01,50,63,gbdt,0.8909906632714926,.8909
0.01,50,63,dart,0.8825734671665256,.8825
0.01,100,31,rf,,NaN
0.01,100,15,gbdt,0.8445904831447,.8445
0.01,100,63,rf,,NaN
0.01,100,15,dart,0.8243177387914229,.8243
0.01,50,127,gbdt,0.8962756278054106,.8962
0.01,100,127,rf,,NaN
0.01,100,31,gbdt,0.8822457163689391,.8822
0.01,200,15,rf,,NaN
0.01,50,127,dart,0.8897504240368306,.8897
0.01,100,31,dart,0.8632603406326034,.8632
0.01,200,31,rf,,NaN
0.01,100,63,gbdt,0.9024981809362115,.9024
0.01,200,15,gbdt,0.8674787744555187,.8674
0.01,200,15,dart,0.8298079260880136,.8298
0.01,200,63,rf,,NaN
0.01,100,63,dart,0.8897732754462131,.8897
0.01,200,127,rf,,NaN
0.01,100,127,gbdt,0.909422049538611,.9094
0.01,100,127,dart,0.8946096204979452,.8946
0.01,200,31,gbdt,0.9054714215925745,.9054
0.01,200,31,dart,0.875242718446602,.8752
0.01,350,15,rf,,NaN
0.01,350,31,rf,,NaN
0.01,350,15,gbdt,0.8910600879335613,.8910
0.01,200,63,gbdt,0.9265577737447067,.9265
0.01,350,15,dart,0.8504070968525945,.8504
0.01,350,63,rf,,NaN
0.01,200,63,dart,0.8982660361343517,.8982
0.01,350,127,rf,,NaN
0.1,50,15,gbdt,0.8987019289093776,.8987
0.1,50,15,dart,0.8875320551959947,.8875
0.1,50,15,rf,,NaN
0.1,50,31,gbdt,0.9306520414381474,.9306
0.01,350,31,gbdt,0.9243677042801556,.9243
0.01,350,31,dart,0.8863801893663511,.8863
0.1,50,31,dart,0.9264258786331022,.9264
0.1,50,31,rf,,NaN
0.1,50,63,rf,,NaN
0.01,200,127,gbdt,0.9270479883664566,.9270
0.01,200,127,dart,0.9020936705796927,.9020
0.1,50,127,rf,,NaN
0.1,50,63,gbdt,0.9503960999390615,.9503
0.1,50,63,dart,0.9444850255661067,.9444
0.1,100,15,rf,,NaN
0.1,100,15,gbdt,0.9201502483945231,.9201
0.1,100,15,dart,0.9115183881539022,.9115
0.1,100,31,rf,,NaN
0.1,50,127,gbdt,0.9505434118940042,.9505
0.1,50,127,dart,0.9479571984435798,.9479
0.1,100,63,rf,,NaN
0.01,350,63,gbdt,0.9430557249115962,.9430
0.1,100,31,gbdt,0.9453837732635932,.9453
0.1,100,127,rf,,NaN
0.1,100,31,dart,0.9430933852140078,.9430
0.01,350,63,dart,0.9086951263756198,.9086
0.1,200,15,rf,,NaN
0.1,200,15,gbdt,0.939419691635304,.9394
0.1,100,63,gbdt,0.9578224619911722,.9578
0.1,100,63,dart,0.9508836075563681,.9508
0.1,200,31,rf,,NaN
0.1,200,15,dart,0.9310805883067947,.9310
0.1,200,63,rf,,NaN
0.1,200,31,gbdt,0.955201958384333,.9552
0.1,200,31,dart,0.950200901010593,.9502
0.1,100,127,gbdt,0.9570672899495632,.9570
0.1,100,127,dart,0.951427874054186,.9514
0.1,200,127,rf,,NaN
0.1,350,15,rf,,NaN
0.01,350,127,gbdt,0.9446198688365315,.9446
0.1,350,31,rf,,NaN
0.1,350,15,gbdt,0.9485114690092727,.9485
0.1,200,63,gbdt,0.9584358091490409,.9584
0.1,350,15,dart,0.9415615906886519,.9415
0.1,200,63,dart,0.954595520744095,.9545
0.1,350,63,rf,,NaN
0.1,350,127,rf,,NaN
0.01,350,127,dart,0.9168588420924869,.9168
0.1,350,31,gbdt,0.9572901325478645,.9572
0.1,350,31,dart,0.9534855329019656,.9534
0.1,200,127,gbdt,0.9602265730821327,.9602
0.1,200,127,dart,0.9561586638830898,.9561
0.1,350,63,gbdt,0.9607577807848443,.9607
0.1,350,63,dart,0.9571831677094836,.9571
0.1,350,127,gbdt,0.9599901514218884,.9599
0.1,350,127,dart,0.9585026474572098,.9585
